"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Update user","LMS","Thu Nov 27 12:42:01 UTC 2025","passed","Thu Nov 27 12:42:01 UTC 2025","Update entity","Users","",""
"","11","Create user with incorrect email","LMS","Thu Nov 27 12:42:04 UTC 2025","passed","Thu Nov 27 12:42:04 UTC 2025","Validate entity","Users","",""
"","14","Get file with incorrect file id","LMS","Thu Nov 27 12:41:58 UTC 2025","passed","Thu Nov 27 12:41:58 UTC 2025","Validate entity","Files","",""
"","285","Create user","LMS","Thu Nov 27 12:41:58 UTC 2025","passed","Thu Nov 27 12:41:59 UTC 2025","Create entity","Users","",""
"","23","Create file with empty directory","LMS","Thu Nov 27 12:41:57 UTC 2025","passed","Thu Nov 27 12:41:57 UTC 2025","Validate entity","Files","",""
"","18","Update exercise","LMS","Thu Nov 27 12:41:52 UTC 2025","passed","Thu Nov 27 12:41:52 UTC 2025","Update entity","Exercises","",""
"","20","Create exercise","LMS","Thu Nov 27 12:41:51 UTC 2025","passed","Thu Nov 27 12:41:51 UTC 2025","Create entity","Exercises","",""
"","25","Update user","LMS","Thu Nov 27 12:42:02 UTC 2025","passed","Thu Nov 27 12:42:02 UTC 2025","Update entity","Users","",""
"","15","Get exercise","LMS","Thu Nov 27 12:41:52 UTC 2025","passed","Thu Nov 27 12:41:52 UTC 2025","Get entity","Exercises","",""
"","11","Create user with empty first name","LMS","Thu Nov 27 12:42:04 UTC 2025","passed","Thu Nov 27 12:42:04 UTC 2025","Validate entity","Users","",""
"","16","Update user","LMS","Thu Nov 27 12:42:03 UTC 2025","passed","Thu Nov 27 12:42:03 UTC 2025","Update entity","Users","",""
"","20","Update user","LMS","Thu Nov 27 12:42:00 UTC 2025","passed","Thu Nov 27 12:42:00 UTC 2025","Update entity","Users","",""
"","29","Update course","LMS","Thu Nov 27 12:41:50 UTC 2025","passed","Thu Nov 27 12:41:50 UTC 2025","Update entity","Courses","",""
"","26","Get courses","LMS","Thu Nov 27 12:41:50 UTC 2025","passed","Thu Nov 27 12:41:50 UTC 2025","Get entities","Courses","",""
"","13","Get user me","LMS","Thu Nov 27 12:41:59 UTC 2025","passed","Thu Nov 27 12:41:59 UTC 2025","Get entity","Users","",""
"","282","Login with correct email and password","LMS","Thu Nov 27 12:41:47 UTC 2025","passed","Thu Nov 27 12:41:48 UTC 2025","Login","Authentication","",""
"","15","Create file with empty filename","LMS","Thu Nov 27 12:41:56 UTC 2025","passed","Thu Nov 27 12:41:56 UTC 2025","Validate entity","Files","",""
"","275","Login with incorrect password","LMS","Thu Nov 27 12:41:48 UTC 2025","passed","Thu Nov 27 12:41:48 UTC 2025","Validate entity","Authentication","",""
"","16","Update user","LMS","Thu Nov 27 12:42:02 UTC 2025","passed","Thu Nov 27 12:42:02 UTC 2025","Update entity","Users","",""
"","23","Get user","LMS","Thu Nov 27 12:42:00 UTC 2025","passed","Thu Nov 27 12:42:00 UTC 2025","Get entity","Users","",""
"","16","Delete exercise","LMS","Thu Nov 27 12:41:53 UTC 2025","passed","Thu Nov 27 12:41:53 UTC 2025","Delete entity","Exercises","",""
"","284","Create user","LMS","Thu Nov 27 12:41:58 UTC 2025","passed","Thu Nov 27 12:41:58 UTC 2025","Create entity","Users","",""
"","12","Get file with correct file id","LMS","Thu Nov 27 12:41:55 UTC 2025","passed","Thu Nov 27 12:41:55 UTC 2025","Get entity","Files","",""
"","8","Login with incorrect email","LMS","Thu Nov 27 12:41:48 UTC 2025","passed","Thu Nov 27 12:41:48 UTC 2025","Validate entity","Authentication","",""
"","15","Get exercises","LMS","Thu Nov 27 12:41:54 UTC 2025","passed","Thu Nov 27 12:41:54 UTC 2025","Get entities","Exercises","",""
"","16","Delete user","LMS","Thu Nov 27 12:42:04 UTC 2025","passed","Thu Nov 27 12:42:04 UTC 2025","Delete entity","Users","",""
"","285","Create user","LMS","Thu Nov 27 12:41:58 UTC 2025","passed","Thu Nov 27 12:41:58 UTC 2025","Create entity","Users","",""
"","22","Create file","LMS","Thu Nov 27 12:41:54 UTC 2025","passed","Thu Nov 27 12:41:54 UTC 2025","Create entity","Files","",""
"","51","Create course","LMS","Thu Nov 27 12:41:49 UTC 2025","passed","Thu Nov 27 12:41:49 UTC 2025","Create entity","Courses","",""
"","19","Delete file","LMS","Thu Nov 27 12:41:56 UTC 2025","passed","Thu Nov 27 12:41:56 UTC 2025","Delete entity","Files","",""
